,param,train_loss_mean,train_loss_std,val_loss_mean,val_loss_std
0,0.001,0.024818499596665756,0.011816033283268213,0.05365591397849463,0.009094765786576557
1,0.002,0.0025006722237160607,0.0008612862262999373,0.034946236559139775,0.003517296179310976
2,0.003,0.0009411132024737645,0.000576703699637763,0.032043010752688186,0.0025806451612903313
3,0.004,0.0002957784350631876,0.00010060923330929602,0.029677419354838697,0.0011480729303259328
4,0.005,0.0003226673837052996,0.0001371072738260754,0.029139784946236546,0.0014585655877688774
5,0.006,0.0002151115891368516,0.00016133369185262016,0.026989247311827967,0.003178869999805238
6,0.007,0.0001882226404947396,0.00018236972259005928,0.026989247311827946,0.0023899043839669992
7,0.008,0.000107555794568448,0.00010060923330934351,0.02709677419354839,0.0025581456458860685
8,0.009000000000000001,0.00013444474321056,0.00012025103401452619,0.02612903225806451,0.003164287950443469
9,0.010000000000000002,0.000161333691852672,0.00010060923330934351,0.025698924731182803,0.0020231062066910326
10,0.011,0.00013444474321056,0.00012025103401452619,0.024838709677419368,0.0027915602119886417
11,0.012,0.000107555794568448,0.00010060923330934351,0.02494623655913981,0.002345959594545318
12,0.013000000000000001,0.000107555794568448,0.0001006092333093435,0.024731182795698924,0.003314201076865049
13,0.014000000000000002,0.000107555794568448,0.0001006092333093435,0.02440860215053764,0.003988653116342238
14,0.015,8.0666845926336e-05,6.586420389307701e-05,0.02376344086021507,0.0024614028262923654
15,0.016,0.000107555794568448,0.0001006092333093435,0.024516129032258038,0.0032896900087695303
16,0.017,8.0666845926336e-05,6.586420389307701e-05,0.024193548387096774,0.002428298879706687
17,0.018000000000000002,0.0001344447432105378,0.00014727683718878597,0.024838709677419347,0.004579685900870283
18,0.019000000000000003,0.0001613336918526498,0.00015678816603508666,0.026021505376344067,0.0023947373603569644
19,0.02,0.00013444474321056,0.00012025103401452619,0.02548387096774194,0.0014265052861743518
