,param,train_loss_mean,train_loss_std,val_loss_mean,val_loss_std
0,1,0.11018418929819844,0.01788663267345655,0.12145161290322579,0.016474700926248066
1,2,0.0356211347136327,0.004476924153770806,0.057903225806451616,0.008743958818341802
2,3,0.017840817424038723,0.0017811264748310842,0.04360215053763441,0.006132096951194277
3,4,0.010930357623016935,0.0017653265458593248,0.038494623655913975,0.004241523209315274
4,5,0.00729362731917182,0.0013590727762271809,0.03672043010752688,0.004154421827301422
5,6,0.005707179349287444,0.0011098615095166584,0.03483870967741936,0.004078941234062511
6,7,0.0048937886528636785,0.0008633823263244064,0.034677419354838715,0.0037267799624996494
