,best_param,train_loss,test_loss
0,7,0.0036300080666845647,0.03548387096774197
1,6,0.007797795106211369,0.040322580645161255
2,7,0.00699112664694812,0.04086021505376347
3,5,0.017208927130949125,0.04354838709677422
4,7,0.004705566012368934,0.03440860215053765
5,7,0.0053777897284216225,0.0370967741935484
6,7,0.0052433449852110625,0.032258064516129004
7,7,0.0032266738370529957,0.03010752688172047
8,6,0.006318902930895431,0.02741935483870972
9,7,0.004705566012368934,0.032258064516129004
10,6,0.00726001613336924,0.029569892473118253
11,6,0.0059155687012637514,0.03440860215053765
12,7,0.0055122344716321825,0.03978494623655915
13,5,0.024334498521107806,0.055376344086021545
14,5,0.02164560365689705,0.0532258064516129
15,7,0.0048400107555794936,0.03870967741935483
16,6,0.00699112664694812,0.04086021505376347
17,5,0.017477816617370245,0.04354838709677422
18,7,0.0052433449852110625,0.03870967741935483
19,6,0.006184458187684871,0.029569892473118253
