,param,train_loss_mean,train_loss_std,val_loss_mean,val_loss_std
0,0.01,0.00026888948642112,0.0,0.02204301075268822,0.0
1,0.11,0.0,0.0,0.04892473118279572,0.0
2,0.21000000000000002,0.0,0.0,0.05215053763440858,0.0
3,0.31000000000000005,0.0,0.0,0.05698924731182797,0.0
4,0.41000000000000003,0.0,0.0,0.055376344086021545,0.0
5,0.51,0.0,0.0,0.056451612903225756,0.0
6,0.6100000000000001,0.0,0.0,0.05698924731182797,0.0
7,0.7100000000000001,0.0,0.0,0.056451612903225756,0.0
8,0.81,0.0,0.0,0.05591397849462365,0.0
9,0.91,0.0,0.0,0.05591397849462365,0.0
