,param,train_loss_mean,train_loss_std,val_loss_mean,val_loss_std
0,1,0.0329389620865824,0.0013117839115515443,0.03290322580645162,0.002728726352784861
1,2,0.03987631083624628,0.0017145790338187643,0.039569892473118304,0.004349193207775657
2,3,0.0349287442860984,0.0010769015538854916,0.034946236559139775,0.002885249003225518
3,4,0.036784081742403885,0.001307920033021283,0.03612903225806452,0.003067815616706912
4,5,0.03769830599623556,0.0005350833219180495,0.03655913978494625,0.003189762790148664
5,6,0.04033342296316211,0.0009391905994392724,0.039032258064516136,0.004767698769332326
6,7,0.04073675719279375,0.0006749072545313739,0.03741935483870969,0.003033706662293731
7,8,0.04286098413552029,0.000959750916782738,0.03978494623655913,0.002905216362603509
8,9,0.044474321054046764,0.0010531409533512353,0.04150537634408604,0.001965125471236229
9,10,0.04511965582145736,0.0008737874057151001,0.04215053763440859,0.0027749436345298967
10,11,0.04643721430492067,0.0013134363798676873,0.043655913978494644,0.0021878483816533153
11,12,0.047055660123689155,0.0019408531790931671,0.04580645161290324,0.003178869999805268
12,13,0.04877655283678406,0.001446515477957802,0.046021505376344085,0.00246609568627524
13,14,0.04971766603925789,0.001620937550212597,0.04623655913978497,0.002655718072092142
14,15,0.051304114009142254,0.0014192678914113303,0.04838709677419355,0.004367762583137582
