,best_param,train_loss,test_loss
0,5,0.00026888948642112,0.025268817204301075
1,7,0.0,0.026881720430107503
2,7,0.0,0.024193548387096753
3,5,0.00040333422963156895,0.029569892473118253
4,3,0.0009411132024738089,0.040322580645161255
5,4,0.00040333422963156895,0.02580645161290318
6,5,0.0005377789728421289,0.034946236559139754
7,5,0.00040333422963156895,0.02580645161290318
8,5,0.00026888948642112,0.026344086021505397
9,5,0.00026888948642112,0.02741935483870972
10,5,0.00040333422963156895,0.03010752688172047
11,7,0.00026888948642112,0.02849462365591393
12,6,0.00026888948642112,0.032258064516129004
13,3,0.00026888948642112,0.023655913978494647
14,5,0.00026888948642112,0.02311827956989243
15,4,0.00026888948642112,0.02311827956989243
16,4,0.00026888948642112,0.026881720430107503
17,6,0.00026888948642112,0.02849462365591393
18,5,0.00013444474321056,0.02473118279569897
19,5,0.0005377789728421289,0.023655913978494647
