,best_param,train_loss,test_loss
0,5,0.00040333422963156895,0.02741935483870972
1,5,0.0,0.026881720430107503
2,4,0.0,0.025268817204301075
3,5,0.00026888948642112,0.029032258064516148
4,6,0.00026888948642112,0.032258064516129004
5,4,0.00026888948642112,0.026881720430107503
6,5,0.00013444474321056,0.032258064516129004
7,5,0.00026888948642112,0.02473118279569897
8,5,0.00026888948642112,0.026881720430107503
9,5,0.00013444474321056,0.026881720430107503
10,5,0.00026888948642112,0.02849462365591393
11,5,0.00013444474321056,0.027956989247311825
12,5,0.0,0.02741935483870972
13,3,0.00026888948642112,0.023655913978494647
14,3,0.0005377789728421289,0.01935483870967747
15,4,0.00026888948642112,0.02204301075268822
16,4,0.00026888948642112,0.02741935483870972
17,3,0.00026888948642112,0.02849462365591393
18,5,0.00013444474321056,0.02311827956989243
19,5,0.00026888948642112,0.02204301075268822
