,param,train_loss_mean,train_loss_std,val_loss_mean,val_loss_std
0,2,0.5646141435869857,0.010917575417983189,0.5598924731182795,0.022363523477601163
1,4,0.43041140091422425,0.09738016049005913,0.42333333333333345,0.09416654004700202
2,6,0.3743479429954289,0.05763046330492659,0.3716129032258065,0.04212721540429614
3,8,0.316644259209465,0.04346716440257249,0.3204301075268817,0.03383766924402733
4,10,0.27821995159989243,0.03617554049603119,0.2752688172043011,0.038063604873364285
5,12,0.2605539123420274,0.043149013501835344,0.2622580645161291,0.04276461831337862
6,14,0.23299273998386663,0.009854717139286491,0.2397849462365591,0.017497501597254186
7,16,0.2338800752890562,0.02687733010614863,0.23817204301075265,0.033878647362880314
8,18,0.2222909384243076,0.039395439032807705,0.22010752688172044,0.030277171825860663
9,20,0.21266469481043293,0.0305516205547375,0.20946236559139786,0.030448529702367527
10,22,0.1923635385856413,0.029808725124477322,0.19408602150537635,0.02375346455309089
11,24,0.19193331540736755,0.00790992252935308,0.18903225806451612,0.022607766610417558
12,26,0.19472976606614684,0.007864546332553476,0.19774193548387098,0.0090245743046698
13,28,0.20648023662274806,0.025443737805303304,0.20838709677419356,0.03484036900336216
14,30,0.18018284485076635,0.0029655962740440384,0.1806451612903226,0.008938323630374369
15,32,0.18418929819844046,0.01317997413594058,0.18268817204301074,0.012271262466827616
16,34,0.17359505243344983,0.008852714188919286,0.1735483870967742,0.008234060094226513
17,36,0.17294971766603925,0.010741318860150235,0.168494623655914,0.013246334274782353
18,38,0.17797795106211345,0.024822941847718563,0.1831182795698925,0.029128871503146598
19,40,0.1837590750201667,0.012694147065239704,0.1806451612903226,0.016984482794549803
20,42,0.17625705834901856,0.01741523949654465,0.17193548387096774,0.015242291058035996
21,44,0.17249260553912343,0.01839428148044107,0.17311827956989248,0.017304813913366756
22,46,0.17512772250605,0.008640771072291014,0.17645161290322578,0.014931918569324687
23,48,0.17061037913417584,0.021682065092330546,0.16666666666666669,0.017328183017752557
24,50,0.19201398225329389,0.023121431539687487,0.19150537634408601,0.02927102138287722
25,52,0.16964237698305995,0.009797101996500341,0.1667741935483871,0.012637954203939114
26,54,0.17684861521914494,0.02013165367223705,0.17709677419354836,0.014971356626931994
27,56,0.16754503898897552,0.004518943621090768,0.16913978494623655,0.014733929576740332
28,58,0.17448238773863942,0.016801483767603126,0.17634408602150536,0.014142953159103125
29,60,0.18254907233127185,0.014526354772589345,0.17849462365591398,0.01937573543373525
30,62,0.17480505512234473,0.007169523565557628,0.18150537634408603,0.011167276245133096
31,64,0.17090615756923905,0.01643669327654728,0.1712903225806452,0.02448120508151169
32,66,0.15536434525410056,0.011332535536973875,0.15247311827956989,0.015442747061760236
33,68,0.16765259478354394,0.004251516079817671,0.17118279569892472,0.0056958807045802305
