,best_param,train_loss,test_loss,train_cf,test_cf
0,2,0.019897821995159992,0.053763440860215006,"[[1.231e+03 1.000e+00 0.000e+00 1.000e+00 1.000e+00 4.000e+00 3.000e+00
  0.000e+00 0.000e+00 0.000e+00]
 [0.000e+00 1.005e+03 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
  0.000e+00 0.000e+00 0.000e+00]
 [1.000e+00 2.000e+00 7.330e+02 4.000e+00 6.000e+00 0.000e+00 1.000e+00
  0.000e+00 1.000e+00 0.000e+00]
 [0.000e+00 6.000e+00 0.000e+00 6.400e+02 0.000e+00 4.000e+00 0.000e+00
  0.000e+00 1.000e+00 0.000e+00]
 [0.000e+00 1.200e+01 2.000e+00 1.000e+00 6.570e+02 1.000e+00 0.000e+00
  1.000e+00 0.000e+00 3.000e+00]
 [0.000e+00 0.000e+00 0.000e+00 5.000e+00 1.000e+00 5.580e+02 2.000e+00
  0.000e+00 2.000e+00 1.000e+00]
 [3.000e+00 6.000e+00 0.000e+00 0.000e+00 2.000e+00 0.000e+00 6.770e+02
  0.000e+00 0.000e+00 0.000e+00]
 [0.000e+00 6.000e+00 1.000e+00 0.000e+00 1.000e+00 0.000e+00 0.000e+00
  6.270e+02 0.000e+00 3.000e+00]
 [0.000e+00 1.200e+01 0.000e+00 5.000e+00 2.000e+00 0.000e+00 0.000e+00
  2.000e+00 5.470e+02 0.000e+00]
 [0.000e+00 1.000e+01 0.000e+00 0.000e+00 1.300e+01 1.000e+00 0.000e+00
  1.100e+01 3.000e+00 6.150e+02]]","[[301.   0.   3.   0.   2.   4.   2.   0.   0.   0.]
 [  0. 264.   0.   0.   0.   0.   0.   0.   0.   0.]
 [  0.   2. 171.   3.   3.   0.   2.   0.   0.   0.]
 [  0.   2.   3. 163.   0.   2.   0.   1.   2.   0.]
 [  0.   5.   0.   0. 169.   0.   1.   0.   0.   0.]
 [  0.   3.   0.   2.   2. 139.   1.   0.   0.   0.]
 [  0.   2.   1.   0.   2.   1. 140.   0.   0.   0.]
 [  0.   1.   0.   0.   2.   0.   0. 149.   1.   1.]
 [  3.   5.   0.   3.   2.   1.   1.   0. 124.   1.]
 [  1.  11.   0.   1.   7.   1.   0.   5.   2. 140.]]"
1,2,0.022721161602581308,0.055376344086021545,"[[1.208e+03 0.000e+00 1.000e+00 0.000e+00 1.000e+00 1.000e+00 1.800e+01
  4.000e+00 3.000e+00 1.000e+00]
 [0.000e+00 1.022e+03 0.000e+00 1.000e+00 0.000e+00 0.000e+00 1.000e+00
  2.000e+00 2.000e+00 0.000e+00]
 [1.000e+00 2.000e+00 7.310e+02 0.000e+00 3.000e+00 2.000e+00 0.000e+00
  4.000e+00 3.000e+00 0.000e+00]
 [0.000e+00 1.000e+00 9.000e+00 6.390e+02 0.000e+00 7.000e+00 0.000e+00
  5.000e+00 6.000e+00 0.000e+00]
 [0.000e+00 8.000e+00 2.000e+00 0.000e+00 6.350e+02 1.200e+01 1.000e+00
  2.000e+00 0.000e+00 7.000e+00]
 [0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.000e+00 5.670e+02 9.000e+00
  0.000e+00 0.000e+00 2.000e+00]
 [0.000e+00 1.000e+00 0.000e+00 0.000e+00 1.000e+00 0.000e+00 6.620e+02
  0.000e+00 0.000e+00 0.000e+00]
 [0.000e+00 0.000e+00 0.000e+00 0.000e+00 4.000e+00 0.000e+00 0.000e+00
  6.220e+02 0.000e+00 4.000e+00]
 [1.000e+00 2.000e+00 5.000e+00 1.000e+00 1.000e+00 6.000e+00 2.000e+00
  6.000e+00 5.370e+02 1.000e+00]
 [0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.000e+00 1.000e+00 0.000e+00
  1.000e+01 0.000e+00 6.460e+02]]","[[305.   0.   1.   0.   2.   1.   4.   0.   3.   0.]
 [  0. 238.   0.   1.   0.   0.   2.   0.   0.   0.]
 [  0.   0. 169.   0.   2.   3.   3.   3.   3.   0.]
 [  1.   0.   2. 140.   0.   5.   0.   5.   4.   0.]
 [  0.   3.   1.   0. 169.   3.   5.   3.   0.   1.]
 [  2.   0.   0.   1.   0. 127.   3.   0.   1.   3.]
 [  0.   0.   1.   0.   1.   0. 168.   0.   0.   0.]
 [  0.   0.   1.   1.   2.   0.   0. 156.   0.   2.]
 [  0.   1.   1.   2.   2.   4.   4.   3. 128.   1.]
 [  0.   1.   1.   0.   1.   0.   0.   3.   0. 157.]]"
