,1,2,3,4,5,6,7
Train Loss,0.014123420274267277,0.008389351976337726,0.008436407636461415,0.006500403334229632,0.022506050013444474,0.042934928744286095,0.06354530787846194
Train SD,0.025222402665911116,0.00989255712521561,0.010694221579553336,0.011060503138157055,0.01938679211808739,0.024060286049008655,0.031139802093811383
Test Loss,0.06545698924731184,0.06768817204301074,0.06779569892473118,0.0636021505376344,0.06112903225806452,0.05913978494623655,0.07182795698924734
Test SD,0.005220524234226683,0.004747954144980737,0.004665043570867749,0.006713114297601929,0.0054593061451563485,0.004462689455795078,0.005875731652608279
