,param,train_loss_mean,train_loss_std,val_loss_mean,val_loss_std
0,60,0.17192793761763914,0.018567670858170772,0.17443548387096772,0.020072906628825358
1,62,0.17038182307071792,0.016825914038233806,0.17204301075268819,0.019207172659154226
2,64,0.1690642645872546,0.012823132117105644,0.1733064516129032,0.01601146668974181
3,66,0.16894998655552568,0.01345242269751462,0.1746505376344086,0.016216853205821995
4,68,0.17192121538047864,0.016002871151235314,0.17591397849462367,0.013757139014280897
5,70,0.172143049206776,0.023680349192191297,0.1760752688172043,0.022526496776037085
6,72,0.16893654208120462,0.013789173211117018,0.17271505376344087,0.014436134624205855
7,74,0.16874159720354936,0.01614394763884683,0.17029569892473118,0.01363184208909607
8,76,0.17043560096800217,0.012168556498329998,0.17483870967741935,0.015513897111436229
9,78,0.17104732454961008,0.016223190126272474,0.17193548387096774,0.018581939421271353
10,80,0.17182710406023122,0.01623202308840026,0.17545698924731182,0.016350871363159984
11,82,0.17277493949986558,0.017011531952876652,0.17626344086021506,0.016853166557996284
12,84,0.16726270502823343,0.014146813547148276,0.17193548387096777,0.015604925536698231
13,86,0.16568297929550954,0.012641114700168052,0.17040322580645165,0.013611258585188362
14,88,0.1715918257596128,0.020113585127479208,0.1721236559139785,0.021317238199813047
15,90,0.1645065877924173,0.011125527926885297,0.16758064516129034,0.015193380969939581
16,92,0.17112799139553642,0.016447009324795776,0.17389784946236558,0.01842170781975482
17,94,0.16589136864748588,0.015752191243317986,0.1689784946236559,0.016481892859447775
18,96,0.17057004571121268,0.011668773645004113,0.17583333333333334,0.015126050519689514
19,98,0.17071121269158376,0.01353224075248071,0.1735215053763441,0.019055992581805747
