,1,2,3,4,5,6,7
Train Loss,0.06685264856144124,0.0024670610379134176,0.0013108362463027695,0.0016267813928475395,0.0008133906964237698,0.0006318902930895402,0.001115891368647486
Train SD,0.004573863712394324,0.001368615128956529,0.0011454463310710918,0.002893187149379543,0.0010101042120871893,0.0005085851121101839,0.0021095832574265483
Test Loss,0.07709677419354839,0.029623655913978496,0.027016129032258075,0.026263440860215054,0.026236559139784944,0.026021505376344088,0.0285483870967742
Test SD,0.007797367266790301,0.0038126582046218147,0.003374164593446087,0.0035633238895539858,0.003837971676897786,0.0038933047290820697,0.003854130046886615
